Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
530,5,0,0,0,north,0,5,25
531,5,0,0,0,north,0,5,25
532,4,0,0,0,north,0,4,20
533,4,0,0,0,north,0,4,20
534,4,0,0,0,north,0,4,20
535,3,0,0,0,north,0,3,15
536,3,0,0,0,north,0,3,15
537,3,0,0,0,north,0,3,15
538,3,0,0,0,north,0,3,15
539,3,0,0,0,north,0,3,15
540,3,0,0,0,north,0,3,15
541,3,0,0,0,north,0,3,15
542,3,0,0,0,north,0,3,15
543,3,0,0,0,north,0,3,15
544,3,0,0,0,north,0,3,15
545,3,0,0,0,north,0,3,15
546,2,0,0,0,north,0,2,12
547,3,0,0,0,north,0,3,15
548,3,0,0,0,north,0,3,15
549,2,0,0,0,north,0,2,12
550,3,0,0,0,north,0,3,15
551,4,0,0,0,north,0,4,20
552,3,0,0,0,north,0,3,15
553,3,0,0,0,north,0,3,15
554,4,0,0,0,north,0,4,20
555,3,0,0,0,north,0,3,15
556,2,0,0,0,north,0,2,12
557,3,0,0,0,north,0,3,15
558,3,0,0,0,north,0,3,15
559,3,0,0,0,north,0,3,15
560,3,0,0,0,north,0,3,15
561,4,0,0,0,north,0,4,20
562,3,0,0,0,north,0,3,15
563,2,0,0,0,north,0,2,12
564,3,0,0,0,north,0,3,15
565,4,0,0,0,north,0,4,20
566,3,0,0,0,north,0,3,15
567,3,0,0,0,north,0,3,15
568,3,0,0,0,north,0,3,15
569,3,0,0,0,north,0,3,15
570,3,0,0,0,north,0,3,15
571,3,0,0,0,north,0,3,15
572,2,0,0,0,north,0,2,12
573,2,0,0,0,north,0,2,12
574,2,0,0,0,north,0,2,12
575,2,0,0,0,north,0,2,12
576,2,0,0,0,north,0,2,12
577,2,0,0,0,north,0,2,12
578,2,0,0,0,north,0,2,12
579,2,0,0,0,north,0,2,12
580,3,0,0,0,north,0,3,15
581,3,0,0,0,north,0,3,15
582,3,0,0,0,north,0,3,15
583,3,0,0,0,north,0,3,15
584,3,0,0,0,north,0,3,15
585,3,0,0,0,north,0,3,15
586,4,0,0,0,north,0,4,20
587,2,0,0,0,north,0,2,12
588,2,0,0,0,north,0,2,12
589,3,0,0,0,north,0,3,15
590,3,0,0,0,north,0,3,15
591,3,0,0,0,north,0,3,15
592,3,0,0,0,north,0,3,15
593,3,0,0,0,north,0,3,15
594,4,0,0,0,north,0,4,20
595,4,0,0,0,north,0,4,20
596,3,0,0,0,north,0,3,15
597,3,0,0,0,north,0,3,15
598,3,0,0,0,north,0,3,15
599,3,0,0,0,north,0,3,15
600,3,0,0,0,north,0,3,15
601,3,0,0,0,north,0,3,15
602,2,0,0,0,north,0,2,12
603,2,0,0,0,north,0,2,12
604,3,0,0,0,north,0,3,15
605,2,0,0,0,north,0,2,12
606,2,0,0,0,north,0,2,12
607,2,0,0,0,north,0,2,12
608,3,0,0,0,north,0,3,15
609,3,0,0,0,north,0,3,15
